id;type;registrationTime;releaseTime;local;title;topic;isActive;start;end;phase.id;phase.label;impact.value;expectedDuration.description;expectedDuration.endTime;period;summaryAdditionalTravelTime.label;summaryAdditionalTravelTime.shortLabel;summaryAdditionalTravelTime.minimumDurationInMinutes;summaryAdditionalTravelTime.maximumDurationInMinutes
7004182;MAINTENANCE;2023-11-03T11:52:31+0100;2023-11-03T11:52:31+0100;FALSE;Amsterdam - Schiphol - Leiden;;;;;;;;;;;;;;
7004134;MAINTENANCE;2023-11-07T10:18:08+0100;2023-11-07T10:18:08+0100;FALSE;Utrecht - 's-Hertogenbosch;;;;;;;;;;;;;;
7004127;MAINTENANCE;2023-11-03T11:52:55+0100;2023-11-03T11:52:55+0100;FALSE;Amersfoort - Deventer.;;FALSE;2023-12-03T06:00:00+0100;2023-12-04T02:00:00+0100;;;2;;;Zondag 03-12-2023 06:00 uur t/m maandag 04-12-2023 02:00 uur.;De extra reistijd is ongeveer 15 minuten.;extra reistijd 15 min.;15.0;15.0
7004183;MAINTENANCE;2023-11-06T13:56:21+0100;2023-11-06T13:56:21+0100;FALSE;Amsterdam - Brussel - Paris (HSL).;;FALSE;2023-12-04T07:00:00+0100;2023-12-04T08:00:00+0100;;;2;;;Maandag 04-12-2023 07:00 uur t/m maandag 04-12-2023 08:00 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004207;MAINTENANCE;2023-11-14T14:26:10+0100;2023-11-14T14:26:10+0100;FALSE;Amsterdam - Schiphol - Leiden;;;;;;;;;;;;;;
7004217;MAINTENANCE;2023-11-14T15:00:47+0100;2023-11-14T15:00:47+0100;FALSE;Amsterdam - Schiphol - Leiden.;;FALSE;2023-12-09T01:30:00+0100;2023-12-09T06:00:00+0100;;;3;;;Zaterdag 09-12-2023 01:30 uur t/m zaterdag 09-12-2023 06:00 uur.;De extra reistijd is ongeveer 30 minuten.;extra reistijd 30 min.;30.0;30.0
7004204;MAINTENANCE;2023-11-19T14:15:16+0100;2023-11-19T14:15:16+0100;FALSE;Alkmaar - Den Helder;;;;;;;;;;;;;;
7004223;MAINTENANCE;2023-11-19T13:39:11+0100;2023-11-19T13:39:11+0100;FALSE;Gouda - Den Haag.;;FALSE;2023-12-09T04:00:00+0100;2023-12-10T02:00:00+0100;;;3;;;Zaterdag 09-12-2023 04:00 uur t/m zondag 10-12-2023 02:00 uur.;De extra reistijd is ongeveer 15 minuten.;extra reistijd 15 min.;15.0;15.0
7004189;MAINTENANCE;2023-11-06T14:32:18+0100;2023-11-06T14:32:18+0100;FALSE;Amsterdam - Brussel - London (HSL).;;FALSE;2023-12-09T06:00:00+0100;2023-12-09T19:30:00+0100;;;2;;;Zaterdag 09-12-2023 06:00 uur t/m zaterdag 09-12-2023 19:30 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004184;MAINTENANCE;2023-11-06T14:00:59+0100;2023-11-06T14:00:59+0100;FALSE;Amsterdam - Brussel - Paris (HSL).;;FALSE;2023-12-09T06:00:00+0100;2023-12-10T23:59:00+0100;;;2;;;Zaterdag 09-12-2023 06:00 uur t/m zondag 10-12-2023 23:59 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004177;MAINTENANCE;2023-11-10T10:15:03+0100;2023-11-10T10:15:03+0100;FALSE;Nijmegen - Venlo.;;FALSE;2023-12-09T23:00:00+0100;2023-12-10T02:00:00+0100;;;3;;;Zaterdag 09-12-2023 23:00 uur t/m zondag 10-12-2023 02:00 uur.;De extra reistijd kan oplopen tot 30 minuten.;extra reistijd tot 30 min.;;30.0
7004178;MAINTENANCE;2023-11-10T10:15:18+0100;2023-11-10T10:15:18+0100;FALSE;Nijmegen - Venlo.;;FALSE;2023-12-10T04:00:00+0100;2023-12-11T02:00:00+0100;;;3;;;Zondag 10-12-2023 04:00 uur t/m maandag 11-12-2023 02:00 uur.;De extra reistijd kan oplopen tot 30 minuten.;extra reistijd tot 30 min.;;30.0
7004209;MAINTENANCE;2023-11-14T14:49:32+0100;2023-11-14T14:49:32+0100;FALSE;Amsterdam Zuid - Den Haag;;;;;;;;;;;;;;
7004199;MAINTENANCE;2023-11-07T13:16:21+0100;2023-11-07T13:16:21+0100;FALSE;Amsterdam - Hannover - Berlin.;;FALSE;2023-12-15T16:50:00+0100;2023-12-15T20:30:00+0100;;;2;;;Vrijdag 15-12-2023 16:50 uur t/m vrijdag 15-12-2023 20:30 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
7004224;MAINTENANCE;2023-11-19T14:49:53+0100;2023-11-19T14:49:53+0100;FALSE;Den Haag - Rotterdam.;;FALSE;2023-12-16T00:20:00+0100;2023-12-18T05:00:00+0100;;;4;;;Zaterdag 16-12-2023 00:20 uur t/m maandag 18-12-2023 05:00 uur.;De extra reistijd kan oplopen tot 60 minuten.;extra reistijd tot 60 min.;;60.0
7004200;MAINTENANCE;2023-11-07T13:19:42+0100;2023-11-07T13:19:42+0100;FALSE;Amsterdam - Hannover - Berlin.;;FALSE;2023-12-16T04:00:00+0100;2023-12-18T02:00:00+0100;;;2;;;Zaterdag 16-12-2023 04:00 uur t/m maandag 18-12-2023 02:00 uur.;U heeft geen langere reistijd.;Geen extra reistijd;;
