id,type,registrationTime,releaseTime,local,title,topic,isActive,start,end,phase.id,phase.label,impact.value,expectedDuration.description,expectedDuration.endTime,period,summaryAdditionalTravelTime.minimumDurationInMinutes,summaryAdditionalTravelTime.maximumDurationInMinutes,sectionType,section.direction,consequence.section.direction,consequence.description,consequence.level,uicCode,stationCode,name,countryCode,coordinate.lat,coordinate.lng
7004198,MAINTENANCE,2023-11-20T09:28:27+0100,2023-11-20T09:28:27+0100,False,Groningen - Delfzijl.,,False,2023-12-09T00:10:00+0100,2023-12-18T02:00:00+0100,,,4.0,,,Zaterdag 09-12-2023 00:10 uur t/m maandag 18-12-2023 02:00 uur.,,45.0,HSL,BOTH,ONE_WAY,dienstregeling aangepast,LESS_TRAINS,8400061,ASDZ,Amsterdam Zuid,NL,52.338889,4.872356
7004207,MAINTENANCE,2023-11-14T14:26:10+0100,2023-11-14T14:26:10+0100,False,Amsterdam - Schiphol - Leiden; Hoofddorp - Schiphol - Almere Oostvaarders.,,False,2023-12-09T00:15:00+0100,2023-12-11T05:00:00+0100,,,5.0,,,Zaterdag 09-12-2023 00:15 uur t/m maandag 11-12-2023 05:00 uur.,30.0,30.0,NEIGHBORING_COUNTRY,BOTH,ONE_WAY,aangepaste internationale dienstregeling,LESS_TRAINS,8400056,RAI,Amsterdam RAI,NL,52.3372230529785,4.89027786254883
7004217,MAINTENANCE,2023-11-14T15:00:47+0100,2023-11-14T15:00:47+0100,False,Amsterdam - Schiphol - Leiden.,,False,2023-12-09T01:30:00+0100,2023-12-09T06:00:00+0100,,,3.0,,,Zaterdag 09-12-2023 01:30 uur t/m zaterdag 09-12-2023 06:00 uur.,30.0,30.0,HSL,BOTH,ONE_WAY,geen Eurostar,LESS_TRAINS,8400194,DVD,Duivendrecht,NL,52.3233337402344,4.93638896942139
7004204,MAINTENANCE,2023-11-19T14:15:16+0100,2023-11-19T14:15:16+0100,False,Alkmaar - Den Helder; Alkmaar - Hoorn.,,False,2023-12-09T01:50:00+0100,2023-12-18T02:00:00+0100,,,4.0,,,Zaterdag 09-12-2023 01:50 uur t/m maandag 18-12-2023 02:00 uur.,30.0,30.0,HSL,BOTH,ONE_WAY,aangepaste internationale dienstregeling,LESS_TRAINS,8400163,DMNZ,Diemen Zuid,NL,52.3302764892578,4.95583343505859
7004223,MAINTENANCE,2023-11-19T13:39:11+0100,2023-11-19T13:39:11+0100,False,Gouda - Den Haag.,,False,2023-12-09T04:00:00+0100,2023-12-10T02:00:00+0100,,,3.0,,,Zaterdag 09-12-2023 04:00 uur t/m zondag 10-12-2023 02:00 uur.,15.0,15.0,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400685,WP,Weesp,NL,52.3127784729004,5.04305553436279
7004189,MAINTENANCE,2023-11-20T20:33:21+0100,2023-11-20T20:33:21+0100,False,Amsterdam - Brussel - London (HSL).,,False,2023-12-09T06:00:00+0100,2023-12-09T19:30:00+0100,,,2.0,,,Zaterdag 09-12-2023 06:00 uur t/m zaterdag 09-12-2023 19:30 uur.,,,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400450,AMPO,Almere Poort,NL,52.342778,5.151944
7004184,MAINTENANCE,2023-11-06T14:00:59+0100,2023-11-06T14:00:59+0100,False,Amsterdam - Brussel - Paris (HSL).,,False,2023-12-09T06:00:00+0100,2023-12-10T23:59:00+0100,,,2.0,,,Zaterdag 09-12-2023 06:00 uur t/m zondag 10-12-2023 23:59 uur.,,,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400082,ALMM,Almere Muziekwijk,NL,52.3675003051758,5.19027757644653
7004177,MAINTENANCE,2023-11-10T10:15:03+0100,2023-11-10T10:15:03+0100,False,Nijmegen - Venlo.,,False,2023-12-09T23:00:00+0100,2023-12-10T02:00:00+0100,,,3.0,,,Zaterdag 09-12-2023 23:00 uur t/m zondag 10-12-2023 02:00 uur.,,30.0,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400080,ALM,Almere Centrum,NL,52.37503,5.21764
7004178,MAINTENANCE,2023-11-10T10:15:18+0100,2023-11-10T10:15:18+0100,False,Nijmegen - Venlo.,,False,2023-12-10T04:00:00+0100,2023-12-11T02:00:00+0100,,,3.0,,,Zondag 10-12-2023 04:00 uur t/m maandag 11-12-2023 02:00 uur.,,30.0,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400104,ALMP,Almere Parkwijk,NL,52.3766670227051,5.24472236633301
7004226,MAINTENANCE,2023-11-21T15:51:25+0100,2023-11-21T15:51:25+0100,False,Amersfoort - Zwolle.,,False,2023-12-11T23:15:00+0100,2023-12-12T05:30:00+0100,,,3.0,,,Maandag 11-12-2023 23:15 uur t/m dinsdag 12-12-2023 05:30 uur.,45.0,45.0,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400081,ALMB,Almere Buiten,NL,52.3941650390625,5.2780556678772
